	cluster	marker	week	deg_number
106	rna_gene_list_cluster3	H3K9me2	10	0
107	rna_gene_list_cluster1	H3K9me2	10	0
108	rna_gene_list_cluster8	H3K9me3	2	0
109	rna_gene_list_cluster7	H3K9me3	2	0
110	rna_gene_list_cluster2	H3K9me3	2	24
111	rna_gene_list_cluster6	H3K9me3	2	0
112	rna_gene_list_cluster9	H3K9me3	2	0
113	rna_gene_list_cluster5	H3K9me3	2	0
114	rna_gene_list_cluster4	H3K9me3	2	1
115	rna_gene_list_cluster3	H3K9me3	2	2
116	rna_gene_list_cluster1	H3K9me3	2	3
117	rna_gene_list_cluster8	H3K9me3	4	0
118	rna_gene_list_cluster7	H3K9me3	4	0
119	rna_gene_list_cluster2	H3K9me3	4	13
120	rna_gene_list_cluster6	H3K9me3	4	0
121	rna_gene_list_cluster9	H3K9me3	4	0
122	rna_gene_list_cluster5	H3K9me3	4	0
123	rna_gene_list_cluster4	H3K9me3	4	0
124	rna_gene_list_cluster3	H3K9me3	4	1
125	rna_gene_list_cluster1	H3K9me3	4	1
126	rna_gene_list_cluster8	H3K9me3	7	0
127	rna_gene_list_cluster7	H3K9me3	7	0
128	rna_gene_list_cluster2	H3K9me3	7	25
129	rna_gene_list_cluster6	H3K9me3	7	0
130	rna_gene_list_cluster9	H3K9me3	7	0
131	rna_gene_list_cluster5	H3K9me3	7	0
132	rna_gene_list_cluster4	H3K9me3	7	1
133	rna_gene_list_cluster3	H3K9me3	7	1
134	rna_gene_list_cluster1	H3K9me3	7	1
135	rna_gene_list_cluster8	H3K9me3	10	0
136	rna_gene_list_cluster7	H3K9me3	10	0
137	rna_gene_list_cluster2	H3K9me3	10	30
138	rna_gene_list_cluster6	H3K9me3	10	0
139	rna_gene_list_cluster9	H3K9me3	10	0
140	rna_gene_list_cluster5	H3K9me3	10	0
141	rna_gene_list_cluster4	H3K9me3	10	1
142	rna_gene_list_cluster3	H3K9me3	10	2
143	rna_gene_list_cluster1	H3K9me3	10	2
144	rna_gene_list_cluster8	H3K4me3	2	89
145	rna_gene_list_cluster7	H3K4me3	2	144
146	rna_gene_list_cluster2	H3K4me3	2	1304
147	rna_gene_list_cluster6	H3K4me3	2	136
148	rna_gene_list_cluster9	H3K4me3	2	133
149	rna_gene_list_cluster5	H3K4me3	2	19
150	rna_gene_list_cluster4	H3K4me3	2	122
151	rna_gene_list_cluster3	H3K4me3	2	227
152	rna_gene_list_cluster1	H3K4me3	2	360
153	rna_gene_list_cluster8	H3K4me3	4	59
154	rna_gene_list_cluster7	H3K4me3	4	77
155	rna_gene_list_cluster2	H3K4me3	4	1133
156	rna_gene_list_cluster6	H3K4me3	4	75
157	rna_gene_list_cluster9	H3K4me3	4	104
